# train_acc train_loss test_acc test_loss
7.408200000000000340e-01 1.113748882816757657e+00 7.080999999999999517e-01 8.429854476032927479e-01
9.982400000000000162e-01 2.937929513005531866e-03 8.405000000000000249e-01 1.693994475768402230e+00
9.998399999999999510e-01 3.507439476072884642e-08 8.457000000000000073e-01 1.969590644033762494e+00
9.996800000000000130e-01 5.571149231248151303e-07 8.498999999999999888e-01 2.346208332207637248e+00
9.997599999999999820e-01 8.434926729643414081e-09 8.529999999999999805e-01 2.535983065482431353e+00
9.996599999999999930e-01 1.612147408773309331e-07 8.475000000000000311e-01 2.804756395477567832e+00
9.997800000000000020e-01 1.620727602739594330e-10 8.460999999999999632e-01 3.192002630872895708e+00
9.993800000000000461e-01 7.824997856640702370e-04 8.451999999999999513e-01 3.293737036690782549e+00
9.996000000000000441e-01 3.388953934427528709e-08 8.457000000000000073e-01 3.321180055001240472e+00
9.996599999999999930e-01 1.373863631330883029e-06 8.426000000000000156e-01 3.829560586748222306e+00
