# train_acc train_loss test_acc test_loss
8.928571428571428770e-02 2.313024384634835506e+00 7.074652777777777624e-02 2.321295738220214844e+00
1.316964285714285754e-01 2.299873931067330624e+00 8.767361111111110494e-02 2.309137940406799316e+00
1.763392857142857262e-01 2.260300023215157772e+00 1.744791666666666852e-01 2.252246737480163574e+00
2.142857142857142738e-01 2.220892190933227539e+00 1.901041666666666852e-01 2.228440523147583008e+00
2.823660714285714524e-01 2.196384463991437830e+00 2.296006944444444475e-01 2.212725877761840820e+00
3.203125000000000000e-01 2.162087304251534725e+00 2.482638888888888951e-01 2.185537099838256836e+00
3.359375000000000000e-01 2.135213034493582462e+00 2.621527777777777901e-01 2.162733316421508789e+00
3.560267857142856984e-01 2.111999988555908203e+00 2.886284722222222099e-01 2.137410640716552734e+00
3.928571428571428492e-01 2.088564838681902014e+00 3.715277777777777901e-01 2.099465966224670410e+00
4.241071428571428492e-01 2.069025533539908146e+00 3.637152777777777901e-01 2.078308463096618652e+00
4.575892857142856984e-01 2.041649597031729435e+00 3.802083333333333703e-01 2.075173735618591309e+00
4.587053571428571508e-01 2.029766048703874670e+00 3.910590277777777901e-01 2.049198985099792480e+00
5.022321428571429047e-01 2.010117496762956701e+00 4.314236111111111049e-01 2.031237661838531494e+00
5.212053571428570953e-01 1.981984138488769531e+00 4.531250000000000000e-01 2.010240674018859863e+00
5.357142857142856984e-01 1.962152361869812012e+00 4.670138888888888951e-01 1.998355388641357422e+00
5.502232142857143016e-01 1.944488917078290635e+00 4.592013888888888951e-01 1.991993188858032227e+00
5.345982142857143016e-01 1.955677492277962726e+00 4.661458333333333148e-01 1.983315110206604004e+00
5.647321428571429047e-01 1.922086051532200468e+00 4.778645833333333148e-01 1.974634706974029541e+00
5.915178571428570953e-01 1.908251609121050185e+00 4.926215277777777901e-01 1.963490784168243408e+00
6.071428571428570953e-01 1.894517336572919541e+00 5.160590277777777901e-01 1.951151251792907715e+00
5.837053571428570953e-01 1.910974826131548232e+00 5.021701388888888395e-01 1.953938066959381104e+00
6.160714285714286031e-01 1.878358244895935059e+00 5.238715277777777901e-01 1.933021724224090576e+00
6.238839285714286031e-01 1.865144831793648761e+00 5.355902777777777901e-01 1.925433039665222168e+00
6.250000000000000000e-01 1.858613099370683974e+00 5.355902777777777901e-01 1.919996201992034912e+00
6.305803571428570953e-01 1.853563444955008466e+00 5.355902777777777901e-01 1.916050016880035400e+00
6.305803571428570953e-01 1.849496143204825360e+00 5.394965277777777901e-01 1.913150906562805176e+00
6.316964285714286031e-01 1.846117581639971084e+00 5.434027777777777901e-01 1.910965859889984131e+00
6.316964285714286031e-01 1.843230656215122831e+00 5.434027777777777901e-01 1.909268200397491455e+00
6.361607142857143016e-01 1.840700813702174532e+00 5.434027777777777901e-01 1.907901585102081299e+00
6.361607142857143016e-01 1.838426743234906846e+00 5.434027777777777901e-01 1.906750679016113281e+00
6.372767857142856984e-01 1.836322580065046006e+00 5.364583333333332593e-01 1.905722379684448242e+00
