Sat May 25 15:42:52 2024       
Device: cuda
[0/100] Train Acc: 0.5604375, Test Acc: 0.900390625, Train Loss: 1.9067927558898925, Test Loss: 1.574518376435989
[1/100] Train Acc: 0.929625, Test Acc: 1.0, Train Loss: 1.537087696647644, Test Loss: 1.4619907484604762
[2/100] Train Acc: 0.7654375, Test Acc: 1.0, Train Loss: 1.6944510347366333, Test Loss: 1.4616037874649732
[3/100] Train Acc: 0.93935, Test Acc: 0.9999499198717948, Train Loss: 1.5219944761276245, Test Loss: 1.4614405188805017
[4/100] Train Acc: 0.9193875, Test Acc: 1.0, Train Loss: 1.5416821378707886, Test Loss: 1.4613061340955587
[5/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4612153505325318, Test Loss: 1.461169061752466
[6/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611564407348632, Test Loss: 1.4611513691070752
[7/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611509172439576, Test Loss: 1.4611507715323033
[8/100] Train Acc: 0.8846625, Test Acc: 1.0, Train Loss: 1.5763488355636597, Test Loss: 1.4611612420815687
[9/100] Train Acc: 0.9405375, Test Acc: 0.9013922275641025, Train Loss: 1.5206224113464355, Test Loss: 1.559762037717379
[10/100] Train Acc: 0.907775, Test Acc: 1.0, Train Loss: 1.5536258026123047, Test Loss: 1.4611707413807893
[11/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461156428718567, Test Loss: 1.4611513805695069
[12/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611509481430054, Test Loss: 1.4611507860513835
[13/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507696151733, Test Loss: 1.4611507677114928
[14/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150765609741, Test Loss: 1.4611507654190063
[15/100] Train Acc: 0.762025, Test Acc: 0.7977263621794872, Train Loss: 1.6975681575775146, Test Loss: 1.6634336717617817
[16/100] Train Acc: 0.8007, Test Acc: 0.7977263621794872, Train Loss: 1.6604546197891235, Test Loss: 1.6634254256884258
[17/100] Train Acc: 0.8007, Test Acc: 0.7977263621794872, Train Loss: 1.6604510303497315, Test Loss: 1.6634244934106484
[18/100] Train Acc: 0.9048875, Test Acc: 1.0, Train Loss: 1.5562718585968018, Test Loss: 1.4611555139223735
[19/100] Train Acc: 0.9853625, Test Acc: 1.0, Train Loss: 1.4757917371749878, Test Loss: 1.4611509816768842
[20/100] Train Acc: 0.9100875, Test Acc: 0.6983673878205128, Train Loss: 1.5508369102478028, Test Loss: 1.7556286706374242
[21/100] Train Acc: 0.9427, Test Acc: 0.9999499198717948, Train Loss: 1.5176077543258668, Test Loss: 1.4611922701199849
[22/100] Train Acc: 0.96255, Test Acc: 1.0, Train Loss: 1.4985929145812988, Test Loss: 1.461151999540818
[23/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611513402938843, Test Loss: 1.4611509472895892
[24/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611508195877074, Test Loss: 1.4611507684756548
[25/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507659912109, Test Loss: 1.4611507654190063
[26/100] Train Acc: 0.9961875, Test Acc: 1.0, Train Loss: 1.464963265609741, Test Loss: 1.4611507654190063
[27/100] Train Acc: 0.7494125, Test Acc: 0.6991185897435898, Train Loss: 1.7117533107757568, Test Loss: 1.762032232223413
[28/100] Train Acc: 0.8692125, Test Acc: 1.0, Train Loss: 1.591944679069519, Test Loss: 1.4611512170388148
[29/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611509321212768, Test Loss: 1.461150804391274
[30/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507732391358, Test Loss: 1.4611507654190063
[31/100] Train Acc: 0.96535, Test Acc: 1.0, Train Loss: 1.4957761566162109, Test Loss: 1.461150844127704
[32/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611508094787597, Test Loss: 1.4611507814664106
[33/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507682800293, Test Loss: 1.4611507669473305
[34/100] Train Acc: 0.999925, Test Acc: 1.0, Train Loss: 1.4612257656097412, Test Loss: 1.4611507654190063
[35/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[36/100] Train Acc: 0.8828875, Test Acc: 0.7977263621794872, Train Loss: 1.5763188720703125, Test Loss: 1.6587745593144343
[37/100] Train Acc: 0.8851125, Test Acc: 0.8978365384615384, Train Loss: 1.572698250579834, Test Loss: 1.559666320299491
[38/100] Train Acc: 0.919875, Test Acc: 1.0, Train Loss: 1.53842554397583, Test Loss: 1.4611559410889943
[39/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611524919509888, Test Loss: 1.4611510573289332
[40/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611508615493773, Test Loss: 1.4611507936930046
[41/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.46115078830719, Test Loss: 1.4611507661831684
[42/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507661831684
[43/100] Train Acc: 0.9664375, Test Acc: 0.9006410256410257, Train Loss: 1.494685241508484, Test Loss: 1.5605342151262822
[44/100] Train Acc: 0.8997125, Test Acc: 0.9006410256410257, Train Loss: 1.5614404985427857, Test Loss: 1.5605099491583996
[45/100] Train Acc: 0.8740625, Test Acc: 0.7977263621794872, Train Loss: 1.5868491474151611, Test Loss: 1.6589954862227807
[46/100] Train Acc: 0.8007, Test Acc: 0.7977263621794872, Train Loss: 1.6558735387802124, Test Loss: 1.658796801781043
[47/100] Train Acc: 0.9211875, Test Acc: 1.0, Train Loss: 1.5381577180862427, Test Loss: 1.4611542094976475
[48/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461151657295227, Test Loss: 1.4611509159589424
[49/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611508039474488, Test Loss: 1.4611507684756548
[50/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[51/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[52/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[53/100] Train Acc: 0.8914, Test Acc: 0.7987279647435898, Train Loss: 1.5676585332870483, Test Loss: 1.6588758528232574
[54/100] Train Acc: 0.8858, Test Acc: 0.8978365384615384, Train Loss: 1.571668280029297, Test Loss: 1.5585874624741383
[55/100] Train Acc: 0.895625, Test Acc: 0.8978365384615384, Train Loss: 1.5614583835601807, Test Loss: 1.563329177025037
[56/100] Train Acc: 0.8997875, Test Acc: 0.8978365384615384, Train Loss: 1.5613638551712037, Test Loss: 1.563314363742486
[57/100] Train Acc: 0.8958375, Test Acc: 0.907051282051282, Train Loss: 1.5652650367736816, Test Loss: 1.5298456595494196
[58/100] Train Acc: 0.992975, Test Acc: 1.0, Train Loss: 1.468464592552185, Test Loss: 1.4611535018835313
[59/100] Train Acc: 0.9202375, Test Acc: 1.0, Train Loss: 1.540985393333435, Test Loss: 1.4611796492185347
[60/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611605644226073, Test Loss: 1.4611518390667744
[61/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611510383605957, Test Loss: 1.4611507975138152
[62/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507717132568, Test Loss: 1.4611507661831684
[63/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150765800476, Test Loss: 1.4611507654190063
[64/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[65/100] Train Acc: 0.99235, Test Acc: 1.0, Train Loss: 1.4688048112869263, Test Loss: 1.4611601279332087
[66/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461151111793518, Test Loss: 1.4611508326652722
[67/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507844924927, Test Loss: 1.4611507677114928
[68/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507659912109, Test Loss: 1.4611507654190063
[69/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[70/100] Train Acc: 0.9254875, Test Acc: 0.700020032051282, Train Loss: 1.5350815114974976, Test Loss: 1.7561201850573223
[71/100] Train Acc: 0.9312375, Test Acc: 0.9998998397435898, Train Loss: 1.529657035636902, Test Loss: 1.4612530446969545
[72/100] Train Acc: 0.908575, Test Acc: 0.9006410256410257, Train Loss: 1.5525881032943725, Test Loss: 1.5605099170635908
[73/100] Train Acc: 0.8997125, Test Acc: 0.9006410256410257, Train Loss: 1.561438314628601, Test Loss: 1.560509748947926
[74/100] Train Acc: 0.9310125, Test Acc: 1.0, Train Loss: 1.5300291181564332, Test Loss: 1.4611552082575285
[75/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611519269943238, Test Loss: 1.461150906024835
[76/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150807762146, Test Loss: 1.4611507684756548
[77/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507665634156, Test Loss: 1.4611507654190063
