Sat May 25 15:46:02 2024       
Device: cuda
Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[0/100] Train Acc: 0.11458333333333333, Test Acc: 0.1875, Train Loss: 2.3004303773244223, Test Loss: 2.293616771697998
[1/100] Train Acc: 0.19401041666666666, Test Acc: 0.1875, Train Loss: 2.266002138455709, Test Loss: 2.238971710205078
[2/100] Train Acc: 0.2604166666666667, Test Acc: 0.234375, Train Loss: 2.203689177831014, Test Loss: 2.1860554218292236
[3/100] Train Acc: 0.3528645833333333, Test Acc: 0.3984375, Train Loss: 2.141995151837667, Test Loss: 2.1288063526153564
[4/100] Train Acc: 0.4283854166666667, Test Acc: 0.421875, Train Loss: 2.0805329084396362, Test Loss: 2.0903561115264893
[5/100] Train Acc: 0.4895833333333333, Test Acc: 0.46875, Train Loss: 2.0251508553822837, Test Loss: 2.026911735534668
[6/100] Train Acc: 0.51171875, Test Acc: 0.4296875, Train Loss: 1.9900676608085632, Test Loss: 2.044630289077759
[7/100] Train Acc: 0.5611979166666666, Test Acc: 0.53125, Train Loss: 1.9506762623786926, Test Loss: 1.9741123914718628
[8/100] Train Acc: 0.58203125, Test Acc: 0.5390625, Train Loss: 1.9316436648368835, Test Loss: 1.9637778997421265
[9/100] Train Acc: 0.6536458333333334, Test Acc: 0.6640625, Train Loss: 1.8866772452990215, Test Loss: 1.8840831518173218
[10/100] Train Acc: 0.6953125, Test Acc: 0.6796875, Train Loss: 1.8622490564982097, Test Loss: 1.8768271207809448
[11/100] Train Acc: 0.734375, Test Acc: 0.71875, Train Loss: 1.8305607239405315, Test Loss: 1.824163794517517
[12/100] Train Acc: 0.7473958333333334, Test Acc: 0.71875, Train Loss: 1.8012990355491638, Test Loss: 1.8038865327835083
[13/100] Train Acc: 0.75390625, Test Acc: 0.7265625, Train Loss: 1.7841068307558696, Test Loss: 1.7900925874710083
[14/100] Train Acc: 0.7760416666666666, Test Acc: 0.75, Train Loss: 1.7684279481569927, Test Loss: 1.7730064392089844
[15/100] Train Acc: 0.8098958333333334, Test Acc: 0.8046875, Train Loss: 1.7498743931452434, Test Loss: 1.7556464672088623
[16/100] Train Acc: 0.8359375, Test Acc: 0.8203125, Train Loss: 1.7348849773406982, Test Loss: 1.7420212030410767
[17/100] Train Acc: 0.8463541666666666, Test Acc: 0.8203125, Train Loss: 1.7226223746935527, Test Loss: 1.7287640571594238
[18/100] Train Acc: 0.85546875, Test Acc: 0.84375, Train Loss: 1.7081128756205242, Test Loss: 1.7135396003723145
[19/100] Train Acc: 0.8684895833333334, Test Acc: 0.84375, Train Loss: 1.6941267450650532, Test Loss: 1.7003239393234253
[20/100] Train Acc: 0.8802083333333334, Test Acc: 0.859375, Train Loss: 1.6831571261088054, Test Loss: 1.6893106698989868
[21/100] Train Acc: 0.8841145833333334, Test Acc: 0.8671875, Train Loss: 1.6726359923680623, Test Loss: 1.677715539932251
[22/100] Train Acc: 0.8919270833333334, Test Acc: 0.875, Train Loss: 1.6599743763605754, Test Loss: 1.6650972366333008
[23/100] Train Acc: 0.8984375, Test Acc: 0.875, Train Loss: 1.6473397016525269, Test Loss: 1.6540045738220215
[24/100] Train Acc: 0.9010416666666666, Test Acc: 0.8828125, Train Loss: 1.6364799737930298, Test Loss: 1.6447727680206299
[25/100] Train Acc: 0.9010416666666666, Test Acc: 0.8828125, Train Loss: 1.6273401776949565, Test Loss: 1.6369394063949585
[26/100] Train Acc: 0.90234375, Test Acc: 0.8828125, Train Loss: 1.6195122798283894, Test Loss: 1.6301087141036987
[27/100] Train Acc: 0.90234375, Test Acc: 0.8828125, Train Loss: 1.6127259333928425, Test Loss: 1.6240034103393555
[28/100] Train Acc: 0.9036458333333334, Test Acc: 0.8828125, Train Loss: 1.607106904188792, Test Loss: 1.6187403202056885
[29/100] Train Acc: 0.9036458333333334, Test Acc: 0.8828125, Train Loss: 1.6049012144406636, Test Loss: 1.6201481819152832
[30/100] Train Acc: 0.8346354166666666, Test Acc: 0.6484375, Train Loss: 1.6658934752146404, Test Loss: 1.854515790939331
[31/100] Train Acc: 0.8684895833333334, Test Acc: 0.8828125, Train Loss: 1.6399659713109334, Test Loss: 1.6050328016281128
[32/100] Train Acc: 0.90625, Test Acc: 0.8984375, Train Loss: 1.5857727924982707, Test Loss: 1.5971527099609375
[33/100] Train Acc: 0.9322916666666666, Test Acc: 0.921875, Train Loss: 1.5798755089441936, Test Loss: 1.5905944108963013
[34/100] Train Acc: 0.9453125, Test Acc: 0.9296875, Train Loss: 1.5749332706133525, Test Loss: 1.5849729776382446
[35/100] Train Acc: 0.9518229166666666, Test Acc: 0.9296875, Train Loss: 1.5707039435704548, Test Loss: 1.5799751281738281
[36/100] Train Acc: 0.9544270833333334, Test Acc: 0.9296875, Train Loss: 1.5677131414413452, Test Loss: 1.5757839679718018
[37/100] Train Acc: 0.9518229166666666, Test Acc: 0.9375, Train Loss: 1.565494438012441, Test Loss: 1.5716454982757568
[38/100] Train Acc: 0.9544270833333334, Test Acc: 0.9375, Train Loss: 1.5623069604237874, Test Loss: 1.5671530961990356
[39/100] Train Acc: 0.9557291666666666, Test Acc: 0.9375, Train Loss: 1.5583499471346538, Test Loss: 1.5624960660934448
[40/100] Train Acc: 0.9609375, Test Acc: 0.9375, Train Loss: 1.5542626182238262, Test Loss: 1.557788372039795
[41/100] Train Acc: 0.9635416666666666, Test Acc: 0.9375, Train Loss: 1.5501360893249512, Test Loss: 1.5529958009719849
[42/100] Train Acc: 0.9700520833333334, Test Acc: 0.9453125, Train Loss: 1.5459091265996296, Test Loss: 1.5480788946151733
[43/100] Train Acc: 0.97265625, Test Acc: 0.953125, Train Loss: 1.5415961146354675, Test Loss: 1.543010950088501
[44/100] Train Acc: 0.9739583333333334, Test Acc: 0.96875, Train Loss: 1.5371939738591511, Test Loss: 1.537736415863037
[45/100] Train Acc: 0.9791666666666666, Test Acc: 0.96875, Train Loss: 1.532623549302419, Test Loss: 1.5321781635284424
[46/100] Train Acc: 0.9830729166666666, Test Acc: 0.9765625, Train Loss: 1.527772565682729, Test Loss: 1.5263115167617798
[47/100] Train Acc: 0.98828125, Test Acc: 0.9765625, Train Loss: 1.5225873390833538, Test Loss: 1.5203297138214111
[48/100] Train Acc: 0.9908854166666666, Test Acc: 0.9921875, Train Loss: 1.5171485741933186, Test Loss: 1.5146657228469849
[49/100] Train Acc: 0.9934895833333334, Test Acc: 0.9921875, Train Loss: 1.5117288827896118, Test Loss: 1.509728193283081
[50/100] Train Acc: 0.99609375, Test Acc: 0.9921875, Train Loss: 1.5068903962771099, Test Loss: 1.505603313446045
[51/100] Train Acc: 0.9973958333333334, Test Acc: 0.9921875, Train Loss: 1.5029642184575398, Test Loss: 1.5020736455917358
[52/100] Train Acc: 0.9986979166666666, Test Acc: 1.0, Train Loss: 1.4997282425562541, Test Loss: 1.4989378452301025
[53/100] Train Acc: 0.9986979166666666, Test Acc: 1.0, Train Loss: 1.496890366077423, Test Loss: 1.4961014986038208
[54/100] Train Acc: 0.9986979166666666, Test Acc: 1.0, Train Loss: 1.4943246444066365, Test Loss: 1.4935259819030762
[55/100] Train Acc: 0.9986979166666666, Test Acc: 1.0, Train Loss: 1.4919946392377217, Test Loss: 1.4911878108978271
[56/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4898786942164104, Test Loss: 1.4890635013580322
[57/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4879542191823323, Test Loss: 1.4871336221694946
[58/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.486198604106903, Test Loss: 1.4853798151016235
[59/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.484592576821645, Test Loss: 1.4837827682495117
[60/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4831191301345825, Test Loss: 1.4823249578475952
[61/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4817635416984558, Test Loss: 1.4809895753860474
[62/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4805133938789368, Test Loss: 1.479763388633728
[63/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4793582757314045, Test Loss: 1.4786348342895508
[64/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4782887895901997, Test Loss: 1.477593183517456
[65/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.477297345797221, Test Loss: 1.4766305685043335
[66/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4763764937718709, Test Loss: 1.4757390022277832
[67/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4755205114682515, Test Loss: 1.4749122858047485
[68/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4747237761815388, Test Loss: 1.474143385887146
[69/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4739812811215718, Test Loss: 1.4734278917312622
[70/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4732884963353474, Test Loss: 1.4727609157562256
[71/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4726412892341614, Test Loss: 1.4721375703811646
[72/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4720359643300374, Test Loss: 1.4715547561645508
[73/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.471469024817149, Test Loss: 1.4710081815719604
[74/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4709374904632568, Test Loss: 1.4704954624176025
[75/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4704382220904033, Test Loss: 1.4700140953063965
[76/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4699689547220867, Test Loss: 1.4695605039596558
